first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Benjamin,WHITE,Benjamin White,Grande-Bretagne,https://top14.lnr.fr/joueur/11845-benjamin-white,,,,,,,,,RC Toulon,41.9,RC Toulon,40.5
Ignacio,RUIZ,Ignacio Ruiz,Italie,https://top14.lnr.fr/joueur/11989-ignacio-ruiz,,,,,,,,,USA Perpignan,46.1,USA Perpignan,55.7
Gela,APRASIDZE,Gela Aprasidze,Géorgie,https://top14.lnr.fr/joueur/1447-gela-aprasidze,Montpellier Hérault Rugby,4.0,,,Montpellier Hérault Rugby,33.7,,,Aviron Bayonnais,18.2,USA Perpignan,23.0
James Robert,HALL,James Robert Hall,Afrique du Sud,https://top14.lnr.fr/joueur/1782-james-robert-hall,Oyonnax Rugby,52.9,,,Stade Français Paris,41.9,Stade Français Paris,28.2,Racing 92,13.8,USA Perpignan,48.4
Nemo Gunther,ROELOFSE,Nemo Gunther Roelofse,Afrique du Sud,https://top14.lnr.fr/joueur/1784-nemo-gunther-roelofse,,,,,Stade Français Paris,35.2,Stade Français Paris,37.7,USA Perpignan,46.5,USA Perpignan,28.2
Baptiste,PESENTI,Baptiste Pesenti,France,https://top14.lnr.fr/joueur/1806-baptiste-pesenti,Section Paloise,45.8,Section Paloise,49.7,Racing 92,53.8,,,Stade Français Paris,48.8,Stade Français Paris,42.1
Giovanni,HABEL KUFFNER,Giovanni Habel Kuffner,Allemagne,https://top14.lnr.fr/joueur/1812-giovanni-habel-kuffner,,,Section Paloise,47.6,Section Paloise,52.2,,,Stade Français Paris,51.3,Aviron Bayonnais,64.9
Siate Folau,TOKOLAHI,Siate Folau Tokolahi,Tonga,https://top14.lnr.fr/joueur/1850-siate-folau-tokolahi,,,,,Section Paloise,33.9,Section Paloise,46.1,Section Paloise,45.0,Section Paloise,56.0
Steven Barry,CUMMINS,Steven Barry Cummins,Australie,https://top14.lnr.fr/joueur/1859-steven-barry-cummins,,,,,Section Paloise,51.7,Section Paloise,55.4,Section Paloise,46.0,,
Vincent,PINTO,Vincent Pinto,France,https://top14.lnr.fr/joueur/1884-vincent-pinto,,,Section Paloise,46.8,Section Paloise,50.8,Section Paloise,77.0,,,,
Ignacio,CALLES,Ignacio Calles,Argentine,https://top14.lnr.fr/joueur/1885-ignacio-calles,Section Paloise,15.0,Section Paloise,28.1,Section Paloise,35.1,Section Paloise,42.5,Section Paloise,44.5,Section Paloise,43.6
Clovis,LE BAIL,Clovis Le Bail,France,https://top14.lnr.fr/joueur/1886-clovis-le-bail,Section Paloise,0.0,Section Paloise,26.1,Section Paloise,47.6,Section Paloise,35.5,Racing 92,37.7,Racing 92,34.1
Nicolas,CORATO,Nicolas Corato,France,https://top14.lnr.fr/joueur/1888-nicolas-corato,Section Paloise,25.0,Section Paloise,20.0,Section Paloise,47.2,,,Section Paloise,38.5,Castres Olympique,40.4
Rémi,SENECA,Rémi Seneca,France,https://top14.lnr.fr/joueur/1889-remi-seneca,,,,,Section Paloise,33.1,Section Paloise,34.7,Section Paloise,42.7,Section Paloise,35.9
Beka,GORGADZE,Beka Gorgadze,Géorgie,https://top14.lnr.fr/joueur/1893-beka-gorgadze,,,Union Bordeaux-Bègles,36.1,Section Paloise,64.1,Section Paloise,70.0,Section Paloise,76.0,Section Paloise,72.3
Thibault,DAUBAGNA,Thibault Daubagna,France,https://top14.lnr.fr/joueur/1895-thibault-daubagna,Section Paloise,51.4,Section Paloise,58.8,Section Paloise,36.9,Section Paloise,43.1,Section Paloise,44.1,Section Paloise,51.6
