first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Enzo,SELPONI,France,https://top14.lnr.fr/joueur/2077-enzo-selponi,,,,,,,,,,,,
Vinaya,HABOSI,Fidji,https://top14.lnr.fr/joueur/2132-vinaya-habosi,,,,,,,,,,,,
Trevor,NYAKANE,Afrique du Sud,https://top14.lnr.fr/joueur/2145-trevor-nyakane,,,,,,,,,,,,
Anton,BRESLER,Grande-Bretagne,https://top14.lnr.fr/joueur/2146-anton-bresler,,,,,,,,,,,,
Ibrahim,DIALLO,France,https://top14.lnr.fr/joueur/2148-ibrahim-diallo,,,,,,,,,,,,
Antoine,GIBERT,France,https://top14.lnr.fr/joueur/2150-antoine-gibert,,,,,,,,,,,,
Donovan,TAOFIFENUA,France,https://top14.lnr.fr/joueur/2151-donovan-taofifenua,,,,,,,,,,,,
Boris,PALU,France,https://top14.lnr.fr/joueur/2156-boris-palu,,,,,,,,,,,,
Fabien,SANCONNIE,France,https://top14.lnr.fr/joueur/2157-fabien-sanconnie,,,,,,,,,,,,
Eddy,BEN AROUS,France,https://top14.lnr.fr/joueur/2159-eddy-ben-arous,,,,,,,,,,,,
Bernard,LE ROUX,Afrique du Sud,https://top14.lnr.fr/joueur/2160-bernard-le-roux,,,,,,,,,,,,
Henry,CHAVANCY,France,https://top14.lnr.fr/joueur/2161-henry-chavancy,,,,,,,,,,,,
Cedate,GOMES SA,France,https://top14.lnr.fr/joueur/2162-cedate-gomes-sa,,,,,,,,,,,,
Wenceslas,LAURET,France,https://top14.lnr.fr/joueur/2163-wenceslas-lauret,,,,,,,,,,,,
Juan,IMHOFF,Argentine,https://top14.lnr.fr/joueur/2164-juan-imhoff,,,,,,,,,,,,
Teddy,IRIBAREN,France,https://top14.lnr.fr/joueur/2166-teddy-iribaren,,,,,,,,,,,,
Olivier,KLEMENCZAK,France,https://top14.lnr.fr/joueur/2167-olivier-klemenczak,,,,,,,,,,,,
Ali,OZ,France,https://top14.lnr.fr/joueur/2169-ali-oz,,,,,,,,,,,,
Louis,DUPICHOT,France,https://top14.lnr.fr/joueur/2170-louis-dupichot,,,,,,,,,,,,
Baptiste,CHOUZENOUX,France,https://top14.lnr.fr/joueur/2171-baptiste-chouzenoux,,,,,,,,,,,,
Kitione,KAMIKAMICA,Fidji,https://top14.lnr.fr/joueur/2174-kitione-kamikamica,,,,,,,,,,,,
Peniami Nasali,NARISIA,Fidji,https://top14.lnr.fr/joueur/2176-peniami-nasali-narisia,,,,,,,,,,,,
Ben Thomas Tuvula,VOLAVOLA,Fidji,https://top14.lnr.fr/joueur/2185-ben-thomas-tuvula-volavola,,,,,,,,,,,,
Janick,TARRIT,France,https://top14.lnr.fr/joueur/2188-janick-tarrit,,,,,,,,,,,,
Guram,GOGICHASHVILI,Géorgie,https://top14.lnr.fr/joueur/2190-guram-gogichashvili,,,,,,,,,,,,
Anthime,HEMERY,France,https://top14.lnr.fr/joueur/2195-anthime-hemery,,,,,,,,,,,,
Maxime,BAUDONNE,France,https://top14.lnr.fr/joueur/2197-maxime-baudonne,,,,,,,,,,,,
Max,SPRING,France,https://top14.lnr.fr/joueur/2198-max-spring,,,,,,,,,,,,
Gia,KHARAISHVILI,Géorgie,https://top14.lnr.fr/joueur/2201-gia-kharaishvili,,,,,,,,,,,,
Finn,RUSSELL,Ecosse,https://top14.lnr.fr/joueur/2203-finn-russell,,,,,,,,,,,,
Inia,TABUAVOU,Fidji,https://top14.lnr.fr/joueur/2205-inia-tabuavou,,,,,,,,,,,,
Benito,MASILEVU,Fidji,https://top14.lnr.fr/joueur/2241-benito-masilevu,,,,,,,,,,,,
Cornell Gerhard,DU PREEZ,Grande-Bretagne,https://top14.lnr.fr/joueur/2281-cornell-gerhard-du-preez,,,,,,,,,,,,
Kieran,BROOKES,Grande-Bretagne,https://top14.lnr.fr/joueur/2282-kieran-brookes,,,,,,,,,,,,
Gaël,DREAN,France,https://top14.lnr.fr/joueur/2300-gael-drean,,,,,,,,,,,,
Daniel Rhys,BIGGAR,Pays de Galles,https://top14.lnr.fr/joueur/2316-daniel-rhys-biggar,,,,,,,,,,,,
Aymeric,LUC,France,https://top14.lnr.fr/joueur/2336-aymeric-luc,,,,,,,,,,,,
Mathieu,TANGUY,France,https://top14.lnr.fr/joueur/2342-mathieu-tanguy,,,,,,,,,,,,
Baptiste,SERIN,France,https://top14.lnr.fr/joueur/2352-baptiste-serin,,,,,,,,,,,,
Jérémy,SINZELLE,France,https://top14.lnr.fr/joueur/2353-jeremy-sinzelle,,,,,,,,,,,,
